UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11539989,65.0,3.0,28.0,10.0,9.0,F,3.0,3.0,39.0,4.0,16.0,7.0,39.0,7.0,3.0,16.0,Injured
11539822,65.0,3.0,42.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11540085,65.0,3.0,30.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539817,65.0,3.0,43.0,11.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539815,65.0,3.0,32.0,10.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537428,65.0,3.0,31.0,10.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537315,65.0,3.0,22.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,6.0,39.0,10.0,4.0,16.0,Injured
11537316,65.0,3.0,22.0,11.0,9.0,F,3.0,3.0,39.0,4.0,18.0,6.0,39.0,7.0,3.0,16.0,Injured
11540084,65.0,3.0,30.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,3.0,16.0,Injured
11537319,65.0,3.0,18.0,11.0,9.0,F,3.0,3.0,39.0,4.0,18.0,6.0,39.0,2.0,3.0,16.0,Injured
11543719,65.0,4.0,33.0,13.0,8.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537443,65.0,4.0,39.0,3.0,8.0,M,3.0,3.0,39.0,4.0,16.0,7.0,39.0,10.0,4.0,16.0,Injured
11537474,65.0,4.0,58.0,10.0,9.0,F,3.0,3.0,39.0,4.0,17.0,7.0,39.0,10.0,4.0,16.0,Injured
11537417,65.0,4.0,29.0,12.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11537423,65.0,4.0,43.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11540964,65.0,4.0,68.0,9.0,8.0,F,2.0,2.0,38.0,3.0,15.0,7.0,38.0,9.0,2.0,15.0,Injured
11543712,65.0,4.0,47.0,13.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11568504,65.0,4.0,26.0,3.0,9.0,M,3.0,3.0,39.0,4.0,16.0,7.0,39.0,10.0,4.0,16.0,Injured
11537408,65.0,4.0,78.0,10.0,5.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539237,65.0,4.0,61.0,11.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11544598,65.0,4.0,57.0,12.0,7.0,M,1.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539765,65.0,4.0,38.0,10.0,9.0,M,3.0,3.0,39.0,4.0,10.0,7.0,39.0,10.0,4.0,16.0,Injured
11537488,65.0,4.0,56.0,7.0,8.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539674,65.0,0.0,21.0,10.0,6.0,M,1.0,3.0,39.0,2.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11547304,65.0,0.0,25.0,8.0,8.0,F,2.0,1.0,37.0,3.0,18.0,7.0,37.0,9.0,2.0,12.0,Injured
11537625,65.0,5.0,21.0,13.0,9.0,M,3.0,3.0,39.0,4.0,17.0,7.0,39.0,10.0,4.0,16.0,Injured
11540825,65.0,5.0,64.0,13.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11539744,65.0,5.0,30.0,9.0,9.0,M,3.0,3.0,39.0,4.0,15.0,7.0,39.0,10.0,4.0,16.0,Injured
11540038,65.0,5.0,30.0,12.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539168,65.0,5.0,2.0,9.0,9.0,F,3.0,3.0,39.0,4.0,17.0,7.0,39.0,5.0,3.0,16.0,Injured
11542776,65.0,5.0,57.0,9.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,7.0,3.0,16.0,Injured
11542778,65.0,5.0,38.0,9.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11540817,65.0,5.0,18.0,12.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11539781,65.0,5.0,40.0,12.0,8.0,M,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,13.0,Injured
11537552,65.0,5.0,61.0,10.0,7.0,M,1.0,3.0,39.0,1.0,16.0,7.0,39.0,10.0,4.0,16.0,Injured
11539246,65.0,5.0,34.0,13.0,9.0,M,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11539650,65.0,5.0,65.0,12.0,8.0,F,2.0,2.0,38.0,3.0,16.0,7.0,25.0,9.0,2.0,11.0,Injured
11539827,65.0,5.0,32.0,8.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11541183,65.0,5.0,25.0,13.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,10.0,4.0,16.0,Injured
11541229,65.0,5.0,47.0,13.0,9.0,F,3.0,3.0,39.0,4.0,18.0,7.0,39.0,8.0,3.0,16.0,Injured
11539645,65.0,5.0,58.0,5.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
11540037,65.0,5.0,24.0,7.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,13.0,Injured
11540754,65.0,5.0,33.0,10.0,8.0,F,2.0,0.0,38.0,3.0,12.0,7.0,38.0,9.0,2.0,9.0,Injured
11555010,65.0,1.0,28.0,5.0,8.0,F,2.0,2.0,38.0,3.0,15.0,7.0,38.0,9.0,2.0,15.0,Injured
11559482,65.0,1.0,19.0,5.0,8.0,F,2.0,2.0,38.0,3.0,18.0,7.0,38.0,9.0,2.0,15.0,Injured
