,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PERSON_INJURY
89,0,4,20.0,7,4,0,0,0,0,0,0,0,0,0,0
90,0,4,16.0,5,0,0,0,0,0,0,0,0,0,3,0
91,0,4,28.0,7,0,1,0,0,0,0,0,0,0,2,0
92,0,4,28.0,5,0,1,0,0,0,0,0,0,0,0,0
93,0,4,29.0,0,0,0,0,0,0,0,0,0,0,5,0
94,0,4,21.0,5,0,0,0,0,0,0,0,0,0,3,0
95,0,4,17.0,4,1,1,1,1,1,1,10,0,1,1,0
96,0,4,31.0,10,5,0,0,0,0,0,2,0,0,4,0
97,0,4,44.0,5,0,1,0,0,0,0,2,0,0,0,0
98,0,4,54.0,7,0,1,0,0,0,0,0,0,0,2,0
99,0,4,47.0,0,0,0,0,0,0,0,0,0,0,2,0
100,0,5,39.0,1,4,1,0,0,0,0,0,0,0,0,0
101,0,5,32.0,7,0,0,0,0,0,0,0,0,0,0,0
102,0,5,69.0,3,1,1,1,1,1,1,0,0,1,1,0
103,0,5,39.0,10,1,0,1,1,1,1,2,0,1,1,0
104,0,5,17.0,8,5,0,2,0,0,0,0,0,0,0,0
105,0,5,20.0,7,0,0,0,0,0,0,0,0,0,0,0
106,1,0,55.0,7,1,0,1,1,1,1,0,0,1,1,0
107,1,0,25.0,4,4,0,2,0,0,3,8,0,0,0,0
108,1,0,33.0,5,1,0,1,1,1,1,1,0,1,1,0
109,1,0,28.0,1,3,1,0,0,0,0,5,0,0,0,0
110,1,0,25.0,7,0,0,0,0,0,0,5,0,0,6,0
111,1,0,21.0,1,0,0,0,0,0,0,5,0,0,0,0
112,1,0,27.0,4,1,0,1,2,1,1,0,0,1,1,0
113,1,0,17.0,7,0,0,0,0,0,0,0,0,0,0,0
114,1,0,26.0,3,0,1,0,0,0,0,0,0,0,2,0
115,1,0,32.0,2,0,1,0,0,0,0,2,0,0,2,0
116,1,0,34.0,8,4,0,0,0,0,0,0,0,0,0,0
117,1,1,39.0,4,4,0,2,0,0,0,0,0,0,0,0
118,1,1,70.0,3,1,1,1,1,1,1,0,0,1,1,0
119,1,1,76.0,5,0,0,0,0,0,0,0,0,0,0,0
120,1,1,56.0,0,0,0,0,0,0,0,0,0,0,2,0
121,1,1,40.0,5,0,0,0,0,0,0,0,0,0,0,0
122,1,1,3.0,11,8,1,0,0,0,0,10,0,0,3,0
123,1,1,24.0,0,0,1,0,0,0,0,0,0,0,2,0
124,1,1,23.0,7,0,0,0,0,0,0,0,0,0,3,0
125,1,1,32.0,5,0,0,0,0,0,0,0,0,0,0,0
126,1,1,28.0,7,0,0,0,0,0,0,0,0,0,0,0
127,1,1,31.0,7,0,0,0,0,0,0,0,0,0,0,0
128,1,1,22.0,4,0,0,0,0,0,0,0,0,0,0,0
129,1,1,26.0,4,0,1,0,0,0,0,0,0,0,2,0
130,1,1,54.0,0,0,1,0,0,0,0,0,0,0,2,0
131,1,1,4.0,11,0,0,0,0,0,0,2,0,0,8,0
132,1,1,43.0,4,1,1,1,2,1,1,2,0,1,1,0
133,1,1,1.0,9,8,1,0,0,0,0,1,0,0,5,0
134,1,1,38.0,5,4,0,2,0,0,4,0,0,0,0,0
135,1,1,53.0,4,1,1,1,3,1,1,0,0,1,1,0
136,1,1,14.0,4,7,0,2,0,0,3,0,0,0,0,0
137,1,1,5.0,4,1,0,1,2,1,1,2,0,1,1,0
138,1,1,31.0,5,0,1,0,0,0,0,3,0,0,0,0
139,1,2,60.0,1,6,0,0,0,0,0,0,0,0,0,0
140,1,2,56.0,7,6,0,0,0,0,0,0,0,0,0,0
141,1,2,33.0,4,2,0,0,0,0,3,0,0,0,0,0
142,1,2,29.0,0,0,1,0,0,0,0,9,0,0,0,0
143,1,2,24.0,3,0,0,0,0,0,0,0,0,0,0,0
144,1,2,18.0,2,0,1,0,0,0,0,0,0,0,0,0
145,1,2,64.0,7,0,1,0,0,0,0,0,0,0,0,0
146,1,2,55.0,0,0,1,0,0,0,0,2,0,0,0,0
147,1,2,59.0,7,4,0,0,0,0,0,0,0,0,0,0
148,1,3,22.0,0,0,0,0,0,0,0,2,0,0,2,0
149,1,3,25.0,4,0,0,0,0,0,0,2,0,0,0,0
150,1,3,20.0,0,0,0,0,0,0,0,0,0,0,0,0
151,1,3,23.0,3,0,0,0,0,0,0,2,0,0,0,0
152,1,3,17.0,7,1,1,1,1,1,1,0,0,1,1,0
153,1,3,68.0,0,0,0,0,0,0,0,2,0,0,0,0
154,1,3,67.0,6,2,1,0,0,0,0,0,0,0,3,0
155,1,3,29.0,3,1,1,1,1,1,1,0,0,1,1,0
156,1,3,68.0,4,2,0,0,0,0,0,0,0,0,0,0
157,1,3,55.0,3,9,0,2,0,0,0,7,0,0,0,0
158,1,3,23.0,9,0,1,0,0,0,0,1,0,0,0,0
159,1,3,25.0,4,5,0,0,0,0,3,4,2,0,0,0
160,1,3,56.0,5,5,0,2,0,0,3,1,0,0,0,0
161,1,3,22.0,4,0,0,0,0,0,0,0,0,0,0,0
162,1,3,22.0,1,6,0,0,0,0,0,0,0,0,0,0
163,1,3,67.0,5,1,0,1,1,1,1,1,0,1,1,0
164,1,3,41.0,2,10,1,0,0,0,0,3,0,0,0,0
165,1,3,33.0,5,5,0,2,0,0,4,1,0,0,0,0
166,1,3,55.0,8,5,0,2,0,0,0,0,0,0,0,0
167,1,3,23.0,8,0,0,0,0,0,0,0,0,0,2,0
168,1,3,63.0,1,1,1,1,1,1,1,0,0,1,1,0
169,1,3,48.0,1,0,1,0,0,0,0,0,0,0,2,0
170,1,3,63.0,5,0,0,0,0,0,0,0,0,0,0,0
171,1,3,31.0,0,3,0,0,0,0,0,0,0,0,0,0
172,1,3,47.0,4,0,1,0,0,0,0,0,0,0,3,0
173,1,3,59.0,7,1,0,1,3,1,1,0,0,1,1,0
174,1,3,32.0,8,0,0,0,0,0,0,0,0,0,2,0
175,1,3,24.0,4,5,0,2,0,0,0,2,0,0,0,0
176,1,3,49.0,0,0,1,0,0,0,0,0,0,0,0,0
177,1,3,51.0,3,1,1,1,3,1,1,0,0,1,1,0
178,1,3,69.0,5,0,1,0,0,0,0,0,0,0,5,0
179,1,3,56.0,8,0,0,0,0,0,0,0,0,0,0,0
180,1,3,22.0,6,4,1,0,0,0,0,3,0,0,2,0
181,1,3,27.0,6,1,1,1,3,4,1,3,0,5,1,0
182,1,3,24.0,6,4,1,0,0,0,0,3,0,0,0,0
183,1,3,68.0,7,6,0,0,0,0,0,2,0,0,0,0
184,1,3,6.0,5,8,1,0,0,0,0,0,0,0,5,0
185,1,3,25.0,5,0,1,0,0,0,0,0,0,0,0,0
186,1,3,35.0,2,7,0,2,0,0,0,0,0,0,0,0
187,1,4,36.0,4,5,0,2,0,0,0,0,0,0,0,0
188,1,4,51.0,10,7,0,2,0,0,0,0,0,0,0,0
189,1,4,52.0,4,1,0,1,3,1,1,8,0,1,1,0
