UNIQUE_ID,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_TYPE,PED_LOCATION,EJECTION,COMPLAINT,EMOTIONAL_STATUS,PED_ROLE,PERSON_SEX,PERSON_INJURY
11568504,-0.6508787060568494,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11537408,2.4851668063349073,10.0,10.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11539237,1.4599211580529867,8.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11544598,1.2186868878690054,3.0,0.0,1.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539765,0.07282410449509442,10.0,9.0,2.0,1.0,3.0,30.0,3.0,5.0,0,Injured
11537488,1.15837832032301,5.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11539674,-0.952421543786826,10.0,7.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11547304,-0.7111872736028447,5.0,-10.0,3.0,4.0,0.0,20.0,3.0,4.0,1,Injured
11537625,-0.952421543786826,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540825,1.6408468606909727,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11539744,-0.40964443587286814,9.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540038,-0.40964443587286814,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539168,-2.098284327160737,9.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11542776,1.2186868878690054,9.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11542778,0.07282410449509442,9.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540817,-1.133347246424812,3.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11539781,0.19344123958708506,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11537552,1.4599211580529867,10.0,0.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11539246,-0.16841016568888684,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11539650,1.701155428236968,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11539827,-0.28902730078087746,5.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11541183,-0.7111872736028447,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11541229,0.6156012124090523,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539645,1.2789954554150007,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11540037,-0.7714958411488401,5.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11540754,-0.22871873323488218,10.0,0.0,3.0,1.0,3.0,0.0,3.0,4.0,1,Injured
11555010,-0.5302615709648587,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11559482,-1.0730386788788167,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11539642,-0.04779303059689621,10.0,-10.0,1.0,1.0,10.0,20.0,3.0,5.0,0,Injured
11539714,-0.10810159814289154,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539693,-1.0127301113328213,7.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11545301,-1.2539643815168025,10.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11545304,-0.5302615709648587,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11545300,-0.5302615709648587,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11545305,-0.4699530034188634,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11545306,-0.952421543786826,10.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11540962,-1.1936558139708073,3.0,-10.0,3.0,5.0,0.0,0.0,3.0,4.0,1,Injured
11540767,-0.3493358683268728,4.0,0.0,2.0,5.0,3.0,20.0,3.0,1.0,0,Injured
11540812,0.43467550977106634,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11539393,1.0377611852310196,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11541834,0.6156012124090523,8.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11537584,0.13313267204108972,5.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11537519,-0.28902730078087746,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11541798,1.9423896984209492,3.0,0.0,3.0,5.0,3.0,20.0,3.0,4.0,1,Injured
