UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11540085,01/01/2021,DAWN,30.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539817,01/01/2021,DAWN,43.0,8.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539815,01/01/2021,DAWN,32.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537428,01/01/2021,DAWN,31.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537315,01/01/2021,DAWN,22.0,8.0,9.0,M,2,3,0.0,7,20.0,5.0,0.0,10.0,5,-1.0,Injured
11537316,01/01/2021,DAWN,22.0,8.0,9.0,F,2,3,0.0,7,20.0,5.0,0.0,6.0,3,-1.0,Injured
11540084,01/01/2021,DAWN,30.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,3,-1.0,Injured
11537319,01/01/2021,DAWN,18.0,8.0,9.0,F,2,3,0.0,7,20.0,5.0,0.0,8.0,3,-1.0,Injured
11543719,01/01/2021,MORNING,33.0,7.0,-10.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537443,01/01/2021,MORNING,39.0,10.0,-10.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537474,01/01/2021,MORNING,58.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537417,01/01/2021,MORNING,29.0,3.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537423,01/01/2021,MORNING,43.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540964,01/01/2021,MORNING,68.0,9.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11543712,01/01/2021,MORNING,47.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11568504,01/01/2021,MORNING,26.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11537408,01/01/2021,MORNING,78.0,10.0,10.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539237,01/01/2021,MORNING,61.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11544598,01/01/2021,MORNING,57.0,3.0,0.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539765,01/01/2021,MORNING,38.0,10.0,9.0,M,2,3,0.0,7,30.0,3.0,0.0,10.0,5,-1.0,Injured
11537488,01/01/2021,MORNING,56.0,5.0,-10.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539674,01/01/2021,LUNCH TIME,21.0,10.0,7.0,M,1,3,0.0,10,20.0,3.0,0.0,10.0,5,-1.0,Injured
11547304,01/01/2021,LUNCH TIME,25.0,5.0,-10.0,F,3,4,27.0,0,20.0,3.0,27.0,-10.0,4,5.0,Injured
11537625,01/01/2021,AFTERNOON,21.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540825,01/01/2021,AFTERNOON,64.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539744,01/01/2021,AFTERNOON,30.0,9.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540038,01/01/2021,AFTERNOON,30.0,3.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539168,01/01/2021,AFTERNOON,2.0,9.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11542776,01/01/2021,AFTERNOON,57.0,9.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11542778,01/01/2021,AFTERNOON,38.0,9.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540817,01/01/2021,AFTERNOON,18.0,3.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539781,01/01/2021,AFTERNOON,40.0,3.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11537552,01/01/2021,AFTERNOON,61.0,10.0,0.0,M,1,3,0.0,8,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539246,01/01/2021,AFTERNOON,34.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539650,01/01/2021,AFTERNOON,65.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,28.0,-10.0,4,10.0,Injured
11539827,01/01/2021,AFTERNOON,32.0,5.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11541183,01/01/2021,AFTERNOON,25.0,7.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11541229,01/01/2021,AFTERNOON,47.0,7.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539645,01/01/2021,AFTERNOON,58.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11540037,01/01/2021,AFTERNOON,24.0,5.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11540754,01/01/2021,AFTERNOON,33.0,10.0,-10.0,F,3,1,10.0,0,0.0,3.0,10.0,-10.0,4,0.0,Injured
11555010,01/01/2021,DINNER TIME,28.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11559482,01/01/2021,DINNER TIME,19.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11539642,01/01/2021,DINNER TIME,36.0,10.0,-10.0,M,1,3,0.0,10,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539714,01/01/2021,DINNER TIME,35.0,8.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11539693,01/01/2021,DINNER TIME,20.0,7.0,-10.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11545301,01/01/2021,DINNER TIME,16.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11545304,01/01/2021,DINNER TIME,28.0,7.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11545300,01/01/2021,DINNER TIME,28.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
